Code | Name | Meaning
0 | OK | 🟢 Everything’s Gucci
1 | CANCELLED | 🚫 Client yeeted the request
2 | UNKNOWN | 🤷‍♂️ Uncaught server panic maybe
3 | INVALID_ARGUMENT | 🥴 You sent garbage input
4 | DEADLINE_EXCEEDED | ⏱️ Timeout city
5 | NOT_FOUND | 🔍 Nah fam, doesn’t exist
6 | ALREADY_EXISTS | 🐛 Duplicate record
7 | PERMISSION_DENIED | 🛑 You shall not pass
8 | RESOURCE_EXHAUSTED | 💥 Quota’s gone, bro
9 | FAILED_PRECONDITION | 😬 Logic said no
10 | ABORTED | 💣 Transaction got wrecked
11 | OUT_OF_RANGE | 📉 Index go brrr
12 | UNIMPLEMENTED | 🛠️ Not coded yet
13 | INTERNAL | 🔥 Server messed up
14 | UNAVAILABLE | ☠️ Service down bro
15 | DATA_LOSS | 🧨 Corruption 😭
16 | UNAUTHENTICATED | 🔒 Token who?
